"name","SCHOOLID","Gender","One player games","Collaborative games","Use email","Chat on line","Social networks","Browse the Internet for fun","Read news","Obtain practical information","Download music","Upload content","Internet for school","Email students","Email teachers","Download from School","Announcements","Homework","Share school material"
"Australia","0000001","Female",1,0,2,1,3,1,1,2,2,0,3,2,2,2,0,4,1
"Australia","0000001","Female",0,0,1,2,4,3,0,0,2,1,3,0,1,1,0,3,1
"Australia","0000001","Female",1,1,3,3,3,3,1,2,3,2,2,2,2,2,0,4,2
"Australia","0000001","Male",2,4,2,4,4,4,4,4,4,3,2,1,1,1,0,3,0
"Australia","0000001","Male",2,0,2,3,3,3,2,2,3,0,2,0,1,2,2,3,0
"Australia","0000001","Female",0,1,0,2,4,3,2,2,2,3,3,1,1,3,1,3,2
"Australia","0000001","Female",2,0,2,0,4,2,1,3,2,1,3,2,2,3,0,3,2
"Australia","0000001","Male",0,0,1,0,0,2,0,1,1,0,3,0,0,2,1,3,0
"Australia","0000001","Male",2,0,1,1,3,3,2,2,2,0,3,1,1,1,0,3,1
"Australia","0000001","Male",2,0,2,4,4,3,1,4,4,0,4,1,2,3,0,4,3
"Australia","0000001","Female",0,0,2,0,4,2,0,0,2,0,2,0,0,0,0,2,0
"Australia","0000001","Female",1,0,4,0,4,4,1,2,2,0,3,1,1,1,1,4,1
"Australia","0000001","Female",1,0,2,3,4,4,1,2,3,2,1,2,1,2,0,2,4
"Australia","0000001","Female",0,0,3,3,3,4,1,2,3,0,2,0,0,2,0,3,0
"Australia","0000001","Female",0,0,1,0,4,4,0,2,0,0,3,1,1,2,1,3,2
"Australia","0000001","Male",0,0,1,1,3,2,2,2,2,2,1,2,1,0,1,3,2
"Australia","0000002","Female",0,1,2,2,3,3,2,3,2,2,2,1,1,0,0,2,0
"Australia","0000002","Female",1,1,1,1,4,2,2,0,2,2,1,1,2,1,1,1,1
"Australia","0000002","Female",0,0,3,0,2,2,3,3,3,0,1,2,2,0,0,3,2
"Australia","0000002","Male",4,2,0,4,4,3,1,0,1,0,1,0,0,0,0,1,0
"Australia","0000002","Female",0,0,3,0,3,2,0,1,1,1,2,0,0,0,1,2,0
